longitude,latitude,count
-149.905377,-17.527631,2
-149.817241,-17.488548,2
-149.775508,-17.480093,2
-149.613263,-17.62261,2
-149.61231,-17.600917,2
-149.576524,-17.740218,2
-149.568658,-17.539944,2
-149.564848,-17.537652,2
-149.529006,-17.525285,2
-149.476209,-17.772146,2
-149.319334,-17.742618,2
-149.302436,-17.614318,2
-61.722737,15.996683,2
-61.72048039949465,15.999101989340252,1
-61.605292,16.20394,2
-61.589272,16.252294,8
-61.55694,16.241782,3
-61.541319,16.252494,2
-61.521867,16.213867,4
-61.518049,16.269584,3
-61.515351,16.254672,16
-61.513367,16.2592,2
-61.511856,16.256084,3
-61.505408,16.207758,2
-61.41,16.01,1
-61.275184,16.257907,4
-61.139421,14.650675,2
-61.048681,14.616521,2
-60.999602,14.610437,2
-60.973749,14.554601,2
-60.90220807348796,14.486405978847024,1
-52.647232,5.154622,1
-52.31936,4.903192,2
-5.097226,48.45544,2
-4.770864,48.33111,4
-4.770224,48.360584,2
-4.764534,48.51339,2
-4.763813,48.448708,2
-4.757681,48.521224,2
-4.750491,48.474991,2
-4.733003,48.432934,2
-4.722911,48.403175,2
-4.719758,48.341545,2
-4.716973,48.432165,4
-4.699928,48.557819,2
-4.68705,48.50914,2
-4.658987,48.542091,2
-4.650071,48.048437,2
-4.64612,48.469227,2
-4.64312,48.374123,2
-4.642571,48.4357,4
-4.640755,48.366266,2
-4.640213,48.467697,2
-4.620963,48.433746,2
-4.613288,48.427326,4
-4.61037,48.567944,2
-4.602025,48.525082,2
-4.60053,48.379959,2
-4.5986,48.428299,2
-4.598037,48.375852,4
-4.595497,48.275364,2
-4.5913,48.055546,2
-4.586969,48.37241,4
-4.574715,48.587631,2
-4.574028899167428,48.42753327105438,3
-4.56792,48.466057,4
-4.565287,48.467354,2
-4.564207,48.359157,2
-4.559065,48.42423,2
-4.555913,48.619442,2
-4.555022,48.026935,2
-4.543984,48.37805,2
-4.539995,48.365081,2
-4.539966832080003,48.39086319595664,1
-4.538179,48.552601,2
-4.537401,48.026707,2
-4.532413,48.386104,6
-4.528937,48.388316,3
-4.528483,48.411031,2
-4.527107,48.40056,18
-4.526732,48.388175,11
-4.5262008,48.3874626,11
-4.523272,48.570396,2
-4.522451,48.38762,2
-4.515875,48.563363,4
-4.514,48.426173,2
-4.512228,48.074905,2
-4.507885,48.285328,2
-4.507157,48.49913,2
-4.506584,48.225123,3
-4.506578,48.2258,2
-4.503862,48.606556,2
-4.502978,48.389904,4
-4.502053,48.016415,4
